Method,Avg_Time_s,Std_Time_s
daugman,0.019967532157897948,0.0024839975454377843
circ_adaptive,0.07414373397827148,0.010435462079312724
ellip_uniform,0.025327558517456054,0.0060256053905884165
aemn,0.04818451881408691,0.0067985143864186075
