,Pupil Radius,Iris Radius,Pupil/Iris Ratio
count,450.0,450.0,450.0
mean,16.309782776567673,40.88097192797396,0.5413526008729446
std,8.290797585844697,29.40949344160246,0.26784142993403043
min,7.883821219205856,8.097365975379944,0.11800063261057715
25%,9.752604365348816,14.118670582771301,0.3323582810665575
50%,11.803938150405884,29.384846687316895,0.4644492168832394
75%,23.66130256652832,63.72809553146362,0.7420395740858413
max,50.337196350097656,131.53739166259766,1.4219243152791514
